text,label,source
xmas new years eve tickets are now on sale from the club during the day from 10am till 8pm and on thurs fri sat night this week they re selling fast,phishing,UCI_SMS
you have been specially selected to receive a 3000 award call 08712402050 before the lines close cost 10ppm 16 t cs apply ag promo,phishing,UCI_SMS
can you pls send me that company name in saibaba colany,legitimate,UCI_SMS
auction round 4 the highest bid is now 54 next maximum bid is 71 to bid send bids e g 10 to bid 10 to 83383 good luck,phishing,UCI_SMS
you have 1 new message call 0207 083 6089,phishing,UCI_SMS
lol oops sorry have fun,legitimate,UCI_SMS
ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100p sms,phishing,UCI_SMS
cds 4u congratulations ur awarded 500 of cd gift vouchers or 125 gift guaranteed freeentry 2 100 wkly draw xt music to 87066 tncs www ldew com1win150ppmx3age16,phishing,UCI_SMS
reply to win 100 weekly what professional sport does tiger woods play send stop to 87239 to end service,phishing,UCI_SMS
good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more,legitimate,UCI_SMS
image image image image yahoo warehouse what s in it for you visit the yahoo warehouse grand opening for deals on used overstock and clea rance goods from distributors liquidators and individual sellers buy you r favorite books music dvds and videos video games computers and elect ronics at bargain prices got stuff to sell it s a cinch to list your item s and watch your business grow four dimensions of shopping the new yaho o shopping consists of shopping warehouse auctions and classifieds se lect the universal search box to find that perfect holiday gift or make a purchase for yourself or your business buy brand name goods from catalog m erchants or boutique storefronts commodity items from discount sellers on e of a kind collectibles on auction or cars pets furnishings and more f rom sellers in your local area shop at home for the holidays find great gift ideas and seasonal specials at the yahoo shopping gift center or vi sit the cosmo gift guide s boutique collection of presents for the ladies on your list including mom plus treats for that special someone you from yahoo shopping and cosmopolitan magazine your favorite things for the holidays or anytime desktop essentials made easy one simple download gets you started with three powerful yahoo essentials yahoo messenger for instant messaging yahoo companion a custom toolbar for your browser and the messenger explorer bar for access to messaging within your brows er don t miss yahoo messenger s new imvironments liven up your instan t chat with interactive themes like dilbert hello kitty or the super smas h bros set up your windows desktop for easy access to your favorite yahoo services and preferences more great ways to yahoo short takes p ut your resume where the jobs are create an online resume and post it fo r free on yahoo careers thousands of jobs listings are just a click awa y let employers find you consumer reports auto hub steer your way t o expert unbiased buying advice before you shop the showrooms get 90 day access to over 150 in depth vehicle reports for only 9 95 sample one of t he free reports on yahoo autos like this best worst used cars simp lify your financial life let yahoo finance organize all your accounts calculate and monitor your net worth and automatically create budgets that save you money completely free yahoo mortgage center mortgage int erest rates keep falling want to see how much you could save by refinancin g apply online for a loan and receive up to four offers cool stuff shop for thanksgiving everything you need for a feast at home or away cookbooks centerpieces tools for roasting and carving and even the tende rest turkeys want to sell your car advertise your vehicle on yahoo auto classifieds it s easy to reach an audience of millions only 14 9 5 for 21 days use yahoo wallet and our secure web submission form fan tasy nba what s bigger badder and better than yahoo sports free fant asy nba premium add ons that raise your game to a new level try the fanta sy nba stattracker only 7 95 for an edge that lasts all season then get wireless access for those remote last minute moves 3 95 buys you a sea son s worth of mobile play yahoo personals make a date find a mate membership is less than 20 a month join clubconnect now and get your fi rst month free offer available until november 30 2001 copyright 20 01 yahoo inc all rights reserved 09 09 you received this email because your account information indicates that you wish to be contacted about special offers promotions and yahoo featur es if you do not want to receive further mailings from yahoo delivers u nsubscribe by clicking here or by replying to this email you may also mo dify your delivery options at any time to learn more about yahoo s use of personal information including the use of web beacons in html based e mail please read our privacy policy 09,legitimate,enron
great news call freefone 08006344447 to claim your guaranteed 1000 cash or 2000 gift speak to a live operator now,phishing,UCI_SMS
i love working from home,legitimate,UCI_SMS
dad wanted to talk about the apartment so i got a late start omw now,legitimate,UCI_SMS
good input on those leather pants i can just picture her shopping we will look forward to seeing you for lunch on saturday the weather looks as if it should be good for the game that night see you soon cindy white cwhite viviance com on 10 09 2000 11 30 37 am to sally sally beck enron com cc subject visit hi sally am sure you are glad to be back from cold dark cruel oklahoma we will need to drive over early saturday brigeda has an art lesson at 4pm on fridays so we wouldn t be able to hit the road until pretty late found out this morning she has pneumonia has had a cough i decided i should check out although she is not contagious and is staying in school brigeda went shopping with your gap card this weekend she thought it was just too cool she is very conservative with money so she shopped the sale racks i stayed out of the selection process totally certainly a sign of things to come she picked out two jean skirts and two shirts no doubt she will wear them to your house i believe that she is trying to look dress like amanda i did however dissuade her from buying the leather pants told her that would be way too sweaty looking forward to seeing you all on saturday we ll plan to hit the road by 9 cindy,legitimate,enron
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,phishing,UCI_SMS
ur cash balance is currently 500 pounds to maximize ur cash in now send go to 86688 only 150p meg cc 08718720201 hg suite342 2lands row w1j6hl,phishing,UCI_SMS
dude ive been seeing a lotta corvettes lately,legitimate,UCI_SMS
would you like to see my xxx pics they are so hot they were nearly banned in the uk,phishing,UCI_SMS
how was txting and driving,legitimate,UCI_SMS
super da good replacement for murali,legitimate,UCI_SMS
tbs persolvo been chasing us since sept for 38 definitely not paying now thanks to your information we will ignore them kath manchester,phishing,UCI_SMS
lucy thanks for clearing up the 2 2 file moving on to 2 9 here are some questions 1 it looks like he just missed 1 26 2 9 of 110 i can t tell if he still owes 47 on his deposit 13 i show she missed rent on 1 26 and still owes 140 15 try and follow up with tomas about the 95 hopefully he won t have a bad reaction 20b missed rent 26 has she paid any deposit or rent 27 missed rent,legitimate,enron
urgent we are trying to contact you last weekends draw shows u have won a 1000 prize guaranteed call 09064017295 claim code k52 valid 12hrs 150p pm,phishing,UCI_SMS
had your contract mobile 11 mnths latest motorola nokia etc all free double mins text on orange tariffs text yes for callback no to remove from records,phishing,UCI_SMS
please call 08712402578 immediately as there is an urgent message waiting for you,phishing,UCI_SMS
urgent your mobile number won a 2000 bonus caller prize on 10 06 03 this is the 2nd attempt to reach you call 09066368753 asap box 97n7qp 150ppm,phishing,UCI_SMS
private your 2003 account statement for 07973788240 shows 800 un redeemed s i m points call 08715203649 identifier code 40533 expires 31 10 04,phishing,UCI_SMS
laura i am attaching resume of mark mixon that sally left you a voicemail regarding on monday if you are going to be in town and would like to see mark please let me know and i would be happy to make arrangements thanks patti thompson x39106 sally s assistant,legitimate,enron
eerie nokia tones 4u rply tone title to 8007 eg tone dracula to 8007 titles ghost addamsfa munsters exorcist twilight www getzed co uk pobox36504w45wq 150p,phishing,UCI_SMS
todays vodafone numbers ending with 4882 are selected to a receive a 350 award if your number matches call 09064019014 to receive your 350 award,phishing,UCI_SMS
er yep sure props,legitimate,UCI_SMS
dear u ve been invited to xchat this is our final attempt to contact u txt chat to 86688,phishing,UCI_SMS
loan for any purpose 500 75 000 homeowners tenants welcome have you been previously refused we can still help call free 0800 1956669 or text back help,phishing,UCI_SMS
nooooooo i m gonna be bored to death all day cable and internet outage,legitimate,UCI_SMS
enron global markets ended the year with a great deal of momentum and with 20 very high expectations for 2001 in order to better focus and expand the 20 various businesses within global markets we are pleased to announce the 20 following organizational changes crude and products this group is being re organized into product lines in order to better focu s 20 and maximize coverage and increase our market making abilities the 20 following individuals leading these groups report directly to john nowlan global crude oil don schroeder and bill white will manage our global crude oil books don 01 s 20 emphasis will be on the development and expansion of our physical crude 20 positions both domestically and abroad bill will manage the various 20 financial crude positions globally and will focus on developing these books distillate chris mahoney will have responsibility of all distillate positions chris 20 will focus on developing our global distillate strategy building the 20 business both physically and financially global fuel oil niamh clarke will expand her role managing our global fuel oil and resid 20 positions emphasis will be placed on re establishing enron in the financi al 20 fuel market in the us and developing a physical fuel strategy global gasoline and components jim goughary will assume responsibility for our global gasoline and 20 components business following up on our expansion into the european marke t 20 in 2000 we look forward to jim expanding our presence in the us as well as 20 asian markets global lpg erik hansen and adam gross will be responsible for the development and 20 execution of our global lpg trading and strategy under their guidance we 20 look to expand our presence into the asian pacific markets as well as 20 continuing to grow our us and european operations petrochemical and plastics stuart bland and douglas friedman will be responsible for the continued 20 development and growth of our petrochemical and plastics business they wi ll 20 work to further expand both our physical and financial presence in these 20 markets fuel management doug leach will continue in his role developing our fuel management busines s 20 as well as other long term structural transactions 20 global origination randy maffett has joined the group to lead develop and grow all global 20 origination activities for the group randy 01 s most recent assignment wa s in 20 restructuring several equity investments for ena 20 enron freight this new group under the leadership of dan reck is developing a business in 20 the inter modal transportation area in the united states shawn cumberland 20 has joined this group to lead and expand the origination opportunities in 20 this business shawn 01 s most recent assignment was as coo of the calme r egion global risk management jere overdyke has elected to leave enron after almost 10 years of service 20 per sekse will take over the leadership of this very exciting and growing 20 business per is located in enron 01 s new york office but will be spendin g a 20 significant amount of his time in houston we look forward to this year and feel the above changes will provide the 20 focus and momentum we need to deliver a record performance in 2001 please congratulate everyone on their new assignments,legitimate,enron
win a 200 shopping spree every week starting now 2 play text store to 88039 skilgme tscs08714740323 1winawk age16 1 50perweeksub,phishing,UCI_SMS
the guy did some bitching but i acted like i d be interested in buying something else next week and he gave it to us for free,legitimate,UCI_SMS
die i accidentally deleted e msg i suppose 2 put in e sim archive haiz i so sad,legitimate,UCI_SMS
dear nytimes com member your registration to nytimes com included permission to send you occasional e mail with special offers from our advertisers to unsubscribe from future mailings visit this is a special offer from nextcard visa congratulations you ve been pre selected for this nextcard r visa r offer with rates as low as 2 99 intro or 9 99 ongoing apr nextcard visa is the best credit card you ll find period we re the only credit card company that can tailor an offer specifically for you with an apr as low as 2 99 intro or 9 99 ongoing then you can transfer balances with one click and start saving money right now get a nextcard visa in 30 seconds getting a credit card has never been so easy 1 fill in the brief application 2 receive approval decision within 30 seconds 3 pay no annual fees with rates as low as 2 99 intro or 9 99 ongoing apr click here to apply why waste time with those other credit companies nextcard offers 100 safe online shopping 1 click bill payment and 24 hour online account management don t wait apply now and get approval decisions in 30 seconds or less the choice is clear current cardholders and individuals that have applied within the past 60 days are not eligible to take advantage of this offer nextcard takes your privacy very seriously in order to protect your personal privacy we do not share your personal information with outside parties this may result in your receiving this offer even if you are a current nextcard holder or a recent applicant although this may be an inconvenience it is a result of our belief that your privacy is of utmost importance you may view additional details about our privacy policy at the following url about this e mail your registration to nytimes com included permission to send you occasional e mail with special offers from our advertisers as a member of the bbbonline privacy program and the truste privacy program we are committed to protecting your privacy to unsubscribe from future mailings visit suggestions and feedback are welcome at comments nytimes com please do not reply directly to this e mail,legitimate,enron
hard live 121 chat just 60p min choose your girl and connect live call 09094646899 now cheap chat uk s biggest live service vu bcm1896wc1n3xx,phishing,UCI_SMS
shopping lor them raining mah hard 2 leave orchard,legitimate,UCI_SMS
free entry in 2 a weekly comp for a chance to win an ipod txt pod to 80182 to get entry std txt rate t c s apply 08452810073 for details 18,phishing,UCI_SMS
congratulations on your promotion to manager brent price bob hall leslie reeves brenda herod and i would like to invite you to a luncheon in recognition of your promotion on tuesday february 6 we appreciate your contributions to the continuing success of enron s wholesale services business we would like the opportunity to help you celebrate your promotion please rsvp to patti thompson x39106 details on time and location will follow sally,legitimate,enron
87077 kick off a new season with 2wks free goals news to ur mobile txt ur club name to 87077 eg villa to 87077,phishing,UCI_SMS
please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed 1000 cash or 5000 prize,phishing,UCI_SMS
wat time finish,legitimate,UCI_SMS
once free call me sir,legitimate,UCI_SMS
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,phishing,UCI_SMS
text banneduk to 89555 to see cost 150p textoperator g696ga 18 xxx,phishing,UCI_SMS
you are welcome to attend any of these in fact it is helpful for cross calibration purposes if there is some cross over in the meetings do get with jeff and stacey before the meetings to give them ffeedback on those book administrators who are problematic patti please add beth to the attendee list for the risk and settlements prc meetings thanks original message from apollo beth sent monday may 7 2001 8 57 am to beck sally subject fw preliminary schedule attendee list for mid year prc meeting do you mind if i attend the risk management prc i really want to bring up the folks who are creating problems on a regular basis for shona s team also wouldn t mind attending the settlements one just as a reference point for some of the gcp folks beth original message from thompson patti sent friday may 04 2001 8 26 am to gossett jeffrey hall bob m hedstrom peggy herod brenda f reeves leslie white stacey apollo beth price brent a cc hogan irena choate heather connevey yvette g vincent zionette carrizales blanca villanueva chantelle de la paz janet mcloughlin hector de jesus frank subject preliminary schedule attendee list for mid year prc meeting the dates have been set for the mid year prc pre meetings with exception of egm eim and sally s final prc meeting i have attached a preliminary listing of the meetings and their possible participants most of these names are from last year s list please check your pre meeting list and make whatever additions deletions that you see fit additionally if you have a major conflict with any of these dates please let me know immediately please return this back to me with your final attendee list by monday if possible thanks for your assistance patti x39106 file energy ops prc meetings mid yr 2001 xls,legitimate,enron
here is my new address apples pairs all that malarky,legitimate,UCI_SMS
image phillip please excuse my oversight is not getting the proforma back to you in a usable format i did not realize that i had selected winmail dat rather than sending it as an attachment then i did not notice that i had overlooked your email until today that spread sheet is attached and an updated proforma will go out to you this evening or tomorrow morning with a timeline george w richards creekside builders llc image001 jpg image001 jpg sm134 proforma xls,legitimate,enron
bloomberg message center 447797706009 why wait apply for your future bloomberg com,phishing,UCI_SMS
well done your 4 costa del sol holiday or 5000 await collection call 09050090044 now toclaim sae tcs pobox334 stockport sk38xh cost 1 50 pm max10mins,phishing,UCI_SMS
83039 62735 450 uk break accommodationvouchers terms conditions apply 2 claim you mustprovide your claim number which is 15541,phishing,UCI_SMS
great news call freefone 08006344447 to claim your guaranteed 1000 cash or 2000 gift speak to a live operator now,phishing,UCI_SMS
block breaker now comes in deluxe format with new features and great graphics from t mobile buy for just 5 by replying get bbdeluxe and take the challenge,phishing,UCI_SMS
your 2004 account for 07xxxxxxxxx shows 786 unredeemed points to claim call 08719181259 identifier code xxxxx expires 26 03 05,phishing,UCI_SMS
missing you too pray inshah allah,legitimate,UCI_SMS
thanks chikku gud nyt,legitimate,UCI_SMS
thought we could go out for dinner i ll treat you seem ok,legitimate,UCI_SMS
8007 free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w4 5wq norm 150p tone 16,phishing,UCI_SMS
really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf 2 study,legitimate,UCI_SMS
now i m going out 4 dinner soon,legitimate,UCI_SMS
nice nice how is it working,legitimate,UCI_SMS
knock knock txt whose there to 80082 to enter r weekly draw 4 a 250 gift voucher 4 a store of yr choice t cs www tkls com age16 to stoptxtstop 1 50 week,phishing,UCI_SMS
had the money issue weigh me down but thanks to you i can breathe easier now i ll make sure you dont regret it thanks,legitimate,UCI_SMS
on a tuesday night r u 4 real,legitimate,UCI_SMS
themob hit the link to get a premium pink panther game the new no 1 from sugababes a crazy zebra animation or a badass hoody wallpaper all 4 free,phishing,UCI_SMS
sorry battery died yeah i m here,legitimate,UCI_SMS
yup song bro no creative neva test quality he said check review online,legitimate,UCI_SMS
get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to 84199 optout txt eng stop box39822 w111wx 1 50,phishing,UCI_SMS
thanks for your ringtone order ref number k718 your mobile will be charged 4 50 should your tone not arrive please call customer services on 09065069120,phishing,UCI_SMS
sorry i din lock my keypad,legitimate,UCI_SMS
had your contract mobile 11 mnths latest motorola nokia etc all free double mins text on orange tariffs text yes for callback no to remove from records,phishing,UCI_SMS
lord of the rings return of the king in store now reply lotr by 2 june 4 chance 2 win lotr soundtrack cds stdtxtrate reply stop to end txts,phishing,UCI_SMS
free message thanks for using the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare 08718726270,phishing,UCI_SMS
a 400 xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a 400 reward just call 09066380611,phishing,UCI_SMS
get a brand new mobile phone by being an agent of the mob plus loads more goodies for more info just text mat to 87021,phishing,UCI_SMS
aight tomorrow around lt gt it is,legitimate,UCI_SMS
k still are you loving me,legitimate,UCI_SMS
if you don t your prize will go to another customer t c at www t c biz 18 150p min polo ltd suite 373 london w1j 6hl please call back if busy,phishing,UCI_SMS
you will recieve your tone within the next 24hrs for terms and conditions please see channel u teletext pg 750,phishing,UCI_SMS
sure if i get an acknowledgement from you that it s astoundingly tactless and generally faggy to demand a blood oath fo,legitimate,UCI_SMS
here you go ladies i will forward any updates as they become available thanks brenda,legitimate,enron
oic i saw him too but i tot he din c me i found a group liao,legitimate,UCI_SMS
if you don t your prize will go to another customer t c at www t c biz 18 150p min polo ltd suite 373 london w1j 6hl please call back if busy,phishing,UCI_SMS
u in town alone,legitimate,UCI_SMS
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,phishing,UCI_SMS
thanks for yesterday sir you have been wonderful hope you enjoyed the burial mojibiola,legitimate,UCI_SMS
you are chosen to receive a 350 award pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer,phishing,UCI_SMS
dear matthew please call 09063440451 from a landline your complimentary 4 lux tenerife holiday or 1000 cash await collection ppm150 sae t cs box334 sk38xh,phishing,UCI_SMS
what not under standing,legitimate,UCI_SMS
free ringtone reply real or poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free and 6 more when u join for 3 wk,phishing,UCI_SMS
said kiss kiss i can t do the sound effects he is a gorgeous man isn t he kind of person who needs a smile to brighten his day,legitimate,UCI_SMS
heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,legitimate,UCI_SMS
do u ever get a song stuck in your head for no reason and it won t go away til u listen to it like 5 times,legitimate,UCI_SMS
